train_rmse,train_mae,train_mse,test_rmse,test_mae,test_mse,test_r2
2.1162095613375906,0.6263644306265673,4.478342907496638,0.4052428901195526,0.38831785321235657,0.16422179341316223,-68.2522201538086
0.22177837967278333,0.19737185517640787,0.04918564969028523,0.17416034638881683,0.1669694185256958,0.030331827700138092,-11.790911674499512
0.14377010839399076,0.1244373421236024,0.02066984406761985,0.13474249839782715,0.11237460374832153,0.018155541270971298,-6.656179904937744
0.10167485410670726,0.07572080180201989,0.010337775957620208,0.035434771329164505,0.025317158550024033,0.0012556229485198855,0.4705045819282532
0.03832053367450171,0.029270064289552047,0.0014684633010986195,0.031818561255931854,0.023846087977290154,0.0010124207474291325,0.5730627775192261
0.03465408181738957,0.027123884145034794,0.0012009053866063304,0.031748216599226,0.025072883814573288,0.00100794923491776,0.5749484300613403
0.03286346551337958,0.025560214738496324,0.0010800073655490893,0.026905519887804985,0.021019775420427322,0.0007239070255309343,0.6947288513183594
0.030425284048244215,0.02391852057085874,0.0009256979094163439,0.03790505230426788,0.032891880720853806,0.0014367930125445127,0.39410531520843506
0.02860226118910993,0.022398064087599822,0.0008180893451300642,0.023331305012106895,0.01871391385793686,0.0005443497793748975,0.7704480290412903
0.027059193783471075,0.02128267743834316,0.0007321999682114397,0.020371979102492332,0.0158758033066988,0.00041501750820316374,0.8249874114990234
0.026483192490516012,0.0205440641169538,0.0007013594844897237,0.026457050815224648,0.02110915817320347,0.0006999755860306323,0.7048207521438599
0.02760002657922734,0.021848160946736483,0.0007617614671740555,0.028519026935100555,0.023593876510858536,0.0008133349474519491,0.657017171382904
0.024069958691851415,0.01890635823989226,0.0005793629114274336,0.04150733724236488,0.03751823306083679,0.0017228591023012996,0.2734714150428772
0.023846100088057865,0.018824683845105793,0.0005686364894096733,0.02292928285896778,0.01797035150229931,0.0005257520242594182,0.7782906889915466
0.021208184603835833,0.016660580129113072,0.00044978709419037934,0.023233013227581978,0.01848996989428997,0.0005397729109972715,0.7723780870437622
0.02191270705739324,0.017292058346297393,0.0004801667305831315,0.01817641407251358,0.013752657920122147,0.0003303820558357984,0.8606780767440796
0.020444518939323635,0.015991750306664616,0.0004179783546603628,0.020923595875501633,0.016613591462373734,0.000437796872574836,0.8153813481330872
0.021611738104539927,0.016975548828279827,0.000467067223899223,0.022604938596487045,0.01832255907356739,0.0005109832854941487,0.7845186591148376
0.02000864326828574,0.015772508096078587,0.00040034580543751625,0.016593094915151596,0.012701533734798431,0.0002753307926468551,0.8838931918144226
0.018089778239741495,0.014132554455895941,0.00032724007676302494,0.025863032788038254,0.020999649539589882,0.0006688964203931391,0.7179268002510071
0.020794132347120457,0.01635737477912177,0.0004323959400695614,0.02295536920428276,0.01866992935538292,0.0005269490065984428,0.7777859568595886
