train_rmse,train_mae,train_mse,test_rmse,test_mae,test_mse,test_r2
0.5118472007469517,0.13325552883166936,0.2619875569124902,0.0679979920387268,0.057059396058321,0.004623727407306433,-1.0502769947052002
0.0514428513501763,0.03800927938151009,0.002646366955036336,0.035517435520887375,0.03026651218533516,0.001261488301679492,0.4406244158744812
0.021527033934449765,0.016477062070466994,0.00046341319001495167,0.02229146659374237,0.017715057358145714,0.0004969094879925251,0.7796578407287598
0.018465561906329295,0.013853056460861603,0.0003409769765164796,0.025893446058034897,0.02150549739599228,0.0006704705883748829,0.7026965022087097
0.016114886413705457,0.012253743071986505,0.0002596895641266287,0.012730098329484463,0.009680078364908695,0.00016205539577640593,0.9281405806541443
0.01475733492977399,0.01091504656634013,0.00021777893422952752,0.018034663051366806,0.015369238331913948,0.0003252490714658052,0.8557764291763306
0.014055935475480159,0.01023271680086919,0.00019756932209086164,0.011695309542119503,0.008886338211596012,0.00013678026152774692,0.9393482208251953
2.1926195261916748,0.11670283967012135,4.807580386637004,0.042033977806568146,0.033385034650564194,0.001766855246387422,0.21653199195861816
0.20236183501630786,0.0637333850730132,0.040950312271167404,0.0759776160120964,0.06479747593402863,0.005772597622126341,-1.5597147941589355
0.06587561290051178,0.0531589289254928,0.004339596375018074,0.06025860086083412,0.050123896449804306,0.0036310991272330284,-0.6101206541061401
0.059528079735946635,0.04855728147215923,0.0035435922770492203,0.04895363375544548,0.03965308144688606,0.0023964582942426205,-0.06264984607696533
0.06319853327436492,0.05155635871148677,0.00399405460803101,0.09355061501264572,0.08270621299743652,0.008751717396080494,-2.8807313442230225
0.0815229500370012,0.06932822746574004,0.006645991382735395,0.0928155928850174,0.08438445627689362,0.008614733815193176,-2.8199892044067383
0.05357373531264262,0.04250864775540221,0.0028701451153490907,0.0462387390434742,0.03726771101355553,0.0021380209363996983,0.051947832107543945
0.05253339184314556,0.0417232356737937,0.0027597572585454726,0.04359327629208565,0.03447314351797104,0.001900373725220561,0.1573265790939331
0.0528062672352615,0.04182947965870762,0.0027885018593218525,0.04464146867394447,0.03586360439658165,0.0019928605761379004,0.11631548404693604
0.05197574869780417,0.04124942165064697,0.002701478452697292,0.04221048578619957,0.03362005576491356,0.0017817252082750201,0.20993828773498535
0.05069896538755407,0.04033358678993556,0.0025703850913684056,0.0671515166759491,0.05593634024262428,0.004509326070547104,-0.9995484352111816
0.05258678370156139,0.041738015546508266,0.0027653698200748025,0.045281823724508286,0.03643021732568741,0.0020504435524344444,0.0907818078994751
0.04598674929754382,0.03644711103902599,0.0021147811109551475,0.06123463809490204,0.05018121004104614,0.003749680705368519,-0.6627026796340942
0.045719658433424126,0.03626974420086021,0.00209028716726897,0.048382412642240524,0.038407791405916214,0.002340857870876789,-0.037995219230651855
0.046527908891546274,0.03693405135007463,0.0021648463058200305,0.06426148861646652,0.053101494908332825,0.004129538778215647,-0.8311412334442139
0.046405568743419355,0.03679492929315609,0.0021534768104002192,0.04426059499382973,0.03498335927724838,0.0019590002484619617,0.13133007287979126
0.0464607902868929,0.03683298088477449,0.0021586050340826417,0.04860871657729149,0.039350371807813644,0.0023628072813153267,-0.04772806167602539
0.04627283927685654,0.03671614153873895,0.002141175654741797,0.04651182144880295,0.03750772029161453,0.002163349650800228,0.040716350078582764
0.04410340037125074,0.03491894338172421,0.0019451099243068396,0.04203825071454048,0.033386848866939545,0.0017672146204859018,0.21637266874313354
0.043784829287368654,0.03471469955640087,0.0019171112757240157,0.04280863702297211,0.03389066830277443,0.0018325792625546455,0.18738830089569092
