run,cycle,n_labeled,mae_test,mse_test,rmse_test,r2_test,mae_val,mse_val,rmse_val,r2_val,mean_uncertainty,max_uncertainty,queried_idx
1,1,60,0.826655420828263,1.1669258351810519,1.0802434147825442,0.6276799432967445,0.8904013754977856,1.3616436704579284,1.166894884065368,0.5545489597446206,0.6196318980843575,1.1078936049675865,"[719, 509, 736, 594, 490, 116, 628, 60, 277, 599, 566, 371, 520, 272, 373, 145, 32, 516, 322, 330, 349, 601, 666, 563, 464, 261, 131, 515, 579, 539, 606, 91, 203, 67, 358, 648, 50, 365, 141, 404, 327, 734, 411, 312, 663, 46, 697, 758, 265, 394, 121, 689, 321, 558, 504, 165, 66, 290, 560, 562]"
1,2,130,0.7942628638761665,1.1101173033986653,1.053621043543961,0.6458053075116564,0.8180137930521237,1.1878642456981534,1.0898918504595552,0.6113995346884968,0.5193370143300774,1.3195583694265578,"[556, 647, 598, 314, 553, 192, 361, 473, 189, 499, 471, 441, 514, 447, 362, 143, 696, 635, 273, 484, 731, 540, 477, 409, 291, 344, 339, 525, 658, 3, 474, 603, 465, 84, 52, 687, 47, 80, 641, 190, 701, 70, 325, 167, 518, 654, 643, 759, 225, 415, 664, 691, 48, 429, 629, 111, 627, 26, 164, 24, 316, 305, 86, 97, 437, 11, 495, 754, 284, 332]"
1,3,200,0.7678494581810569,0.998110791250269,0.9990549490644992,0.6815421724408269,0.8058130378574117,1.2000027942800457,1.0954463904181007,0.6074285037864283,0.41463379396382916,0.6856498584271378,"[56, 528, 187, 206, 506, 604, 468, 557, 29, 695, 546, 368, 665, 590, 199, 231, 181, 14, 214, 171, 737, 626, 502, 416, 708, 649, 755, 505, 221, 59, 740, 461, 507, 519, 341, 126, 690, 428, 110, 565, 286, 136, 739, 610, 593, 380, 40, 144, 733, 319, 452, 372, 51, 142, 727, 137, 497, 382, 451, 367, 276, 94, 582, 605, 247, 302, 721, 223, 555, 156]"
1,4,270,0.7325212000097048,0.8924394617885723,0.9446901406220837,0.7152577301831775,0.7715464929654019,1.0685567588597373,1.0337101909431565,0.6504300426513872,0.3249024309353495,0.44342553286978037,"[418, 177, 73, 685, 196, 521, 195, 492, 301, 596, 716, 267, 591, 132, 376, 530, 230, 715, 253, 732, 172, 31, 688, 175, 2, 431, 673, 138, 667, 134, 215, 303, 489, 270, 602, 523, 163, 508, 281, 333, 600, 154, 155, 54, 220, 568, 308, 702, 354, 574, 625, 389, 188, 129, 222, 597, 5, 748, 6, 63, 669, 621, 668, 408, 76, 259, 158, 296, 501, 551]"
1,5,340,0.6861844902114828,0.8301013465897891,0.9110989773837906,0.7351473665986605,0.760440779598712,1.0859689738031906,1.0420983513100817,0.6447337731882441,0.42618950439139847,0.7191268375086609,"[401, 39, 256, 38, 79, 107, 331, 642, 117, 749, 61, 251, 0, 72, 81, 9, 160, 363, 483, 168, 287, 99, 728, 703, 678, 377, 44, 353, 450, 278, 529, 317, 681, 397, 619, 124, 420, 706, 87, 191, 114, 318, 262, 693, 457, 280, 533, 207, 498, 43, 118, 244, 326, 90, 245, 577, 115, 7, 723, 92, 299, 197, 651, 96, 205, 661, 672, 183, 337, 35]"
1,6,410,0.6321652328550771,0.744983301086543,0.8631241516065594,0.762305181236745,0.704480404154842,0.8758498281811831,0.935868488721136,0.7134726026085854,0.33619233935955717,0.6192826567475987,"[511, 374, 65, 106, 720, 410, 27, 542, 700, 657, 466, 57, 315, 328, 385, 440, 541, 258, 400, 269, 615, 638, 22, 198, 552, 631, 725, 747, 357, 37, 186, 585, 718, 652, 62, 176, 406, 744, 559, 453, 113, 300, 583, 421, 69, 250, 392, 335, 517, 510, 174, 351, 386, 588, 387, 320, 213, 369, 18, 242, 104, 95, 238, 729, 209, 271, 266, 538, 709, 414]"
1,7,480,0.6217082038944509,0.6816990425297622,0.8256506782712422,0.7824966947193721,0.596564419463547,0.6324993709839049,0.7952982905702142,0.7930827948027692,0.3164553020541863,0.6765581205325726,"[170, 407, 524, 614, 264, 682, 393, 444, 548, 634, 531, 285, 28, 304, 23, 309, 381, 173, 478, 283, 343, 637, 364, 660, 219, 30, 645, 346, 93, 257, 741, 686, 617, 399, 646, 246, 430, 1, 422, 166, 275, 650, 248, 298, 487, 417, 194, 454, 268, 640, 383, 482, 151, 752, 384, 662, 554, 586, 680, 379, 252, 103, 609, 74, 82, 208, 153, 355, 571, 470]"
1,8,550,0.6111080054773547,0.6641662983518349,0.8149639859232032,0.7880907025900408,0.5962728828198324,0.6360262312317433,0.7975125273196298,0.7919290101524088,0.25111728446848514,0.47212342816215314,"[133, 64, 390, 41, 442, 707, 636, 33, 178, 527, 228, 670, 671, 722, 89, 146, 263, 234, 632, 513, 105, 233, 310, 130, 236, 217, 575, 388, 622, 16, 735, 479, 306, 717, 726, 108, 581, 676, 345, 624, 578, 705, 128, 704, 55, 202, 595, 633, 433, 149, 503, 279, 587, 185, 549, 180, 119, 537, 443, 712, 403, 576, 307, 494, 324, 338, 83, 150, 288, 295]"
1,9,620,0.6079922350580751,0.655858424865103,0.8098508658173448,0.790741417686415,0.5603058744354215,0.5756233623116815,0.7586984660006119,0.8116893346621257,0.19288975522975735,0.3801779734470082,"[455, 480, 237, 405, 85, 580, 49, 45, 323, 535, 19, 475, 241, 413, 352, 659, 348, 592, 684, 201, 550, 545, 127, 463, 616, 313, 710, 226, 292, 366, 68, 347, 426, 375, 756, 109, 20, 496, 423, 125, 713, 123, 210, 449, 311, 235, 434, 359, 227, 460, 618, 274, 462, 42, 360, 53, 467, 573, 724, 169, 427, 112, 282, 34, 334, 255, 692, 500, 147, 120]"
1,10,690,0.6056247068456019,0.6521238974245975,0.8075418858638835,0.7919329582509387,0.563547582097256,0.5779931473854083,0.7602586055977323,0.8109140780739479,0.10582655949456204,0.48673077124057723,"[297, 17, 699, 439, 584, 289, 75, 229, 623, 751, 254, 77, 419, 476, 139, 152, 630, 677, 438, 10, 613, 212, 88, 644, 674, 491, 569, 656, 101, 396, 564, 679, 445, 683, 4, 402, 184, 329, 395, 240, 13, 469, 8, 561, 753, 58, 336, 711, 532, 398, 746, 159, 391, 522, 102, 589, 239, 611, 425, 481, 714, 738, 293, 547, 12, 456, 412, 512, 21, 653]"
1,11,760,0.5992956270038752,0.6499911639961565,0.8062202949542739,0.7926134294574801,0.5521045992465727,0.5677207078923465,0.7534724333990903,0.8142746260333167,0.0,0.0,"[698, 459, 378, 534, 655, 71, 294, 435, 243, 249, 179, 694, 488, 570, 140, 544, 743, 157, 424, 260, 15, 730, 446, 350, 100, 162, 122, 356, 620, 612, 675, 745, 493, 432, 448, 218, 98, 211, 182, 750, 193, 216, 78, 742, 639, 135, 543, 526, 436, 36, 485, 567, 200, 486, 472, 25, 342, 458, 340, 757, 224, 204, 232, 607, 536, 608, 161, 370, 572, 148]"
2,1,60,0.8644819512593297,1.3928120638777688,1.1801745904220142,0.5556085477193232,0.8093313150136779,1.215329139955658,1.1024196750583046,0.602414610083813,0.846425868136716,1.433297293892688,"[154, 249, 309, 429, 595, 396, 92, 238, 317, 604, 710, 599, 347, 399, 377, 539, 121, 294, 79, 248, 577, 16, 302, 538, 490, 216, 371, 55, 391, 25, 378, 42, 169, 64, 204, 115, 576, 529, 565, 523, 668, 715, 300, 541, 124, 312, 448, 679, 405, 67, 198, 484, 408, 734, 704, 22, 616, 397, 622, 214]"
